discipline_title,event_title,slug_game,medal_type,country_name,value_unit
Athletics,Women's 4 x 100m Relay,london-2012,SILVER,Jamaica,00:00:41.410
Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,Ukraine,00:00:42.040
Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,Nigeria,00:00:42.640
Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,Germany,00:00:42.670
Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,Netherlands,00:00:42.700
Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,Brazil,00:00:42.910
Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,Trinidad and Tobago,00:00:42.910
Athletics,Men's 4 x 400m Relay,london-2012,GOLD,Bahamas,00:02:56.720
Athletics,Men's 4 x 400m Relay,london-2012,SILVER,United States of America,00:02:57.050
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Trinidad and Tobago,00:02:59.400
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Great Britain,00:02:59.530
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Belgium,00:03:1.830
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Venezuela,00:03:2.180
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,South Africa,00:03:3.460
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Jamaica,00:03:3.460
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Dominican Republic,00:03:3.460
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Kenya,00:03:3.460
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,Russian Federation,00:03:3.460
Athletics,Men's 4 x 100m Relay,london-2012,GOLD,Jamaica,00:00:36.840
Athletics,Men's 4 x 100m Relay,london-2012,SILVER,Trinidad and Tobago,00:00:38.120
Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,France,00:00:38.160
Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,Japan,00:00:38.350
Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,Netherlands,00:00:38.390
Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,Australia,00:00:38.430
Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,Great Britain,00:00:38.430
Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,United States of America,00:00:38.430
Athletics,Women's 4 x 400m Relay,london-2012,GOLD,United States of America,00:03:16.870
Athletics,Women's 4 x 400m Relay,london-2012,SILVER,Jamaica,00:03:20.950
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Ukraine,00:03:23.570
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Great Britain,00:03:24.760
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,France,00:03:25.920
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Czech Republic,00:03:27.770
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Nigeria,00:03:27.770
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Russian Federation,00:03:27.770
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Turkey,00:03:27.770
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,Belarus,00:03:27.770
Athletics,Women's 4 x 100m Relay,beijing-2008,GOLD,Belgium,00:00:42.540
Athletics,Women's 4 x 100m Relay,beijing-2008,SILVER,Nigeria,00:00:43.040
Athletics,Women's 4 x 100m Relay,beijing-2008,BRONZE,Brazil,00:00:43.140
Athletics,Women's 4 x 100m Relay,beijing-2008,BRONZE,Germany,00:00:43.280
Athletics,Women's 4 x 100m Relay,beijing-2008,BRONZE,Russian Federation,00:00:43.280
Athletics,Women's 4 x 400m Relay,beijing-2008,GOLD,United States of America,00:03:18.540
Athletics,Women's 4 x 400m Relay,beijing-2008,SILVER,Jamaica,00:03:20.400
Athletics,Women's 4 x 400m Relay,beijing-2008,BRONZE,Great Britain,00:03:22.680
Athletics,Women's 4 x 400m Relay,beijing-2008,BRONZE,Cuba,00:03:23.210
Athletics,Women's 4 x 400m Relay,beijing-2008,BRONZE,Nigeria,00:03:23.740
Athletics,Women's 4 x 400m Relay,beijing-2008,BRONZE,Germany,00:03:28.450
Athletics,Women's 4 x 400m Relay,beijing-2008,BRONZE,Russian Federation,00:03:28.450
