Medal_ID,Race_id,event_title,country_name,value_unit,medal_type
8205,1205,Women's 4 x 200m Freestyle Relay,Great Britain,07:52.4,BRONZE
8206,1206,Women's 4 x 200m Freestyle Relay,People's Republic of China,07:53.1,BRONZE
8207,1207,Women's 4 x 200m Freestyle Relay,Italy,07:56.3,BRONZE
8208,1208,Women's 4 x 200m Freestyle Relay,Japan,07:56.7,BRONZE
8209,1209,Women's 4 x 200m Freestyle Relay,Hungary,07:56.7,BRONZE
8210,1210,Women's 4 x 200m Freestyle Relay,New Zealand,07:56.7,BRONZE
8211,1211,Women's 4 x 200m Freestyle Relay,Germany,07:56.7,BRONZE
8212,1212,Women's 4 x 200m Freestyle Relay,Slovenia,07:56.7,BRONZE
8213,1213,Women's 4 x 200m Freestyle Relay,Poland,07:56.7,BRONZE
8214,1214,Women's 4 x 200m Freestyle Relay,Spain,07:56.7,BRONZE
8215,1215,Women's 4 x 200m Freestyle Relay,Russian Federation,07:56.7,BRONZE
8216,1216,Women's 4 x 200m Freestyle Relay,Ukraine,07:56.7,BRONZE
8217,1217,Men's 4 x 200m Freestyle Relay,United States of America,06:59.7,GOLD
8218,1218,Men's 4 x 200m Freestyle Relay,France,07:02.8,SILVER
8219,1219,Men's 4 x 200m Freestyle Relay,People's Republic of China,07:06.3,BRONZE
8220,1220,Men's 4 x 200m Freestyle Relay,Germany,07:06.6,BRONZE
8221,1221,Men's 4 x 200m Freestyle Relay,Australia,07:07.0,BRONZE
8222,1222,Men's 4 x 200m Freestyle Relay,Great Britain,07:09.3,BRONZE
8223,1223,Men's 4 x 200m Freestyle Relay,South Africa,07:09.7,BRONZE
8224,1224,Men's 4 x 200m Freestyle Relay,Hungary,07:13.7,BRONZE
8225,1225,Men's 4 x 200m Freestyle Relay,Japan,07:13.7,BRONZE
8226,1226,Men's 4 x 200m Freestyle Relay,Russian Federation,07:13.7,BRONZE
8227,1227,Men's 4 x 200m Freestyle Relay,Italy,07:13.7,BRONZE
8228,1228,Men's 4 x 200m Freestyle Relay,Belgium,07:13.7,BRONZE
8229,1229,Men's 4 x 200m Freestyle Relay,Denmark,07:13.7,BRONZE
8230,1230,Men's 4 x 200m Freestyle Relay,Canada,07:13.7,BRONZE
8231,1231,Men's 4 x 200m Freestyle Relay,New Zealand,07:13.7,BRONZE
8232,1232,Men's 4 x 200m Freestyle Relay,Austria,07:13.7,BRONZE
8233,1233,Men's 4 x 100m Freestyle Relay,Australia,03:33.1,GOLD
8234,1234,Men's 4 x 100m Freestyle Relay,Netherlands,03:33.8,SILVER
8235,1235,Men's 4 x 100m Freestyle Relay,United States of America,03:34.2,BRONZE
8236,1236,Men's 4 x 100m Freestyle Relay,People's Republic of China,03:36.7,BRONZE
8237,1237,Men's 4 x 100m Freestyle Relay,Great Britain,03:37.0,BRONZE
8238,1238,Men's 4 x 100m Freestyle Relay,Denmark,03:37.4,BRONZE
8239,1239,Men's 4 x 100m Freestyle Relay,Japan,03:38.0,BRONZE
8240,1240,Men's 4 x 100m Freestyle Relay,Sweden,03:38.0,BRONZE
8241,1241,Men's 4 x 100m Freestyle Relay,Germany,03:38.0,BRONZE
8242,1242,Men's 4 x 100m Freestyle Relay,Russian Federation,03:38.0,BRONZE
8243,1243,Men's 4 x 100m Freestyle Relay,Canada,03:38.0,BRONZE
8244,1244,Men's 4 x 100m Freestyle Relay,Italy,03:38.0,BRONZE
8245,1245,Men's 4 x 100m Freestyle Relay,Belarus,03:38.0,BRONZE
8246,1246,Men's 4 x 100m Freestyle Relay,New Zealand,03:38.0,BRONZE
8247,1247,Men's 4 x 100m Freestyle Relay,Hungary,03:38.0,BRONZE
8248,1248,Men's 4 x 100m Freestyle Relay,Greece,03:38.0,BRONZE
8249,1249,Women's 4 x 100m Relay,United States of America,00:40.8,GOLD
8250,1250,Women's 4 x 100m Relay,Jamaica,00:41.4,SILVER
8251,1251,Women's 4 x 100m Relay,Ukraine,00:42.0,BRONZE
8252,1252,Women's 4 x 100m Relay,Nigeria,00:42.6,BRONZE
8253,1253,Women's 4 x 100m Relay,Germany,00:42.7,BRONZE
8254,1254,Women's 4 x 100m Relay,Netherlands,00:42.7,BRONZE
8255,1255,Women's 4 x 100m Relay,Brazil,00:42.9,BRONZE
8256,1256,Women's 4 x 100m Relay,Trinidad and Tobago,00:42.9,BRONZE
8257,1257,Men's 4 x 400m Relay,Bahamas,02:56.7,GOLD
8258,1258,Men's 4 x 400m Relay,United States of America,02:57.1,SILVER
8259,1259,Men's 4 x 400m Relay,Trinidad and Tobago,02:59.4,BRONZE
8260,1260,Men's 4 x 400m Relay,Great Britain,02:59.5,BRONZE
8261,1261,Men's 4 x 400m Relay,Belgium,03:01.8,BRONZE
8262,1262,Men's 4 x 400m Relay,Venezuela,03:02.2,BRONZE
8263,1263,Men's 4 x 400m Relay,South Africa,03:03.5,BRONZE
8264,1264,Men's 4 x 400m Relay,Jamaica,03:03.5,BRONZE
8265,1265,Men's 4 x 400m Relay,Dominican Republic,03:03.5,BRONZE
8266,1266,Men's 4 x 400m Relay,Kenya,03:03.5,BRONZE
8267,1267,Men's 4 x 400m Relay,Russian Federation,03:03.5,BRONZE
8268,1268,Men's 4 x 100m Relay,Jamaica,00:36.8,GOLD
8269,1269,Men's 4 x 100m Relay,Trinidad and Tobago,00:38.1,SILVER
8270,1270,Men's 4 x 100m Relay,France,00:38.2,BRONZE
8271,1271,Men's 4 x 100m Relay,Japan,00:38.4,BRONZE
8272,1272,Men's 4 x 100m Relay,Netherlands,00:38.4,BRONZE
8273,1273,Men's 4 x 100m Relay,Australia,00:38.4,BRONZE
8274,1274,Men's 4 x 100m Relay,Great Britain,00:38.4,BRONZE
8275,1275,Men's 4 x 100m Relay,United States of America,00:38.4,BRONZE
8276,1276,Women's 4 x 400m Relay,United States of America,03:16.9,GOLD
8277,1277,Women's 4 x 400m Relay,Jamaica,03:21.0,SILVER
8278,1278,Women's 4 x 400m Relay,Ukraine,03:23.6,BRONZE
8279,1279,Women's 4 x 400m Relay,Great Britain,03:24.8,BRONZE
8280,1280,Women's 4 x 400m Relay,France,03:25.9,BRONZE
8281,1281,Women's 4 x 400m Relay,Czech Republic,03:27.8,BRONZE
8282,1282,Women's 4 x 400m Relay,Nigeria,03:27.8,BRONZE
8283,1283,Women's 4 x 400m Relay,Russian Federation,03:27.8,BRONZE
8284,1284,Women's 4 x 400m Relay,Turkey,03:27.8,BRONZE
8285,1285,Women's 4 x 400m Relay,Belarus,03:27.8,BRONZE
8286,1286,Women's 4 x 100m Relay,Belgium,00:42.5,GOLD
8287,1287,Women's 4 x 100m Relay,Nigeria,00:43.0,SILVER
8288,1288,Women's 4 x 100m Relay,Brazil,00:43.1,BRONZE
8289,1289,Women's 4 x 100m Relay,Germany,00:43.3,BRONZE
8290,1290,Women's 4 x 100m Relay,Russian Federation,00:43.3,BRONZE
8291,1291,Women's 4 x 400m Relay,United States of America,03:18.5,GOLD
8292,1292,Women's 4 x 400m Relay,Jamaica,03:20.4,SILVER
8293,1293,Women's 4 x 400m Relay,Great Britain,03:22.7,BRONZE
8294,1294,Women's 4 x 400m Relay,Cuba,03:23.2,BRONZE
8295,1295,Women's 4 x 400m Relay,Nigeria,03:23.7,BRONZE
8296,1296,Women's 4 x 400m Relay,Germany,03:28.5,BRONZE
8297,1297,Women's 4 x 400m Relay,Russian Federation,03:28.5,BRONZE
8298,1298,Women's 4 x 400m Relay,Belarus,03:28.5,BRONZE
8299,1299,Men's 4 x 100m Relay,Trinidad and Tobago,00:38.1,GOLD
8300,1300,Men's 4 x 100m Relay,Japan,00:38.2,SILVER
8301,1301,Men's 4 x 100m Relay,Brazil,00:38.2,BRONZE
8302,1302,Men's 4 x 100m Relay,Germany,00:38.6,BRONZE
8303,1303,Men's 4 x 100m Relay,Canada,00:38.7,BRONZE
8304,1304,Men's 4 x 100m Relay,Jamaica,00:38.7,BRONZE
8305,1305,Men's 4 x 400m Relay,United States of America,02:55.4,GOLD
8306,1306,Men's 4 x 400m Relay,Bahamas,02:58.0,SILVER
8307,1307,Men's 4 x 400m Relay,Great Britain,02:58.8,BRONZE
8308,1308,Men's 4 x 400m Relay,Belgium,02:59.4,BRONZE
8309,1309,Men's 4 x 400m Relay,Australia,03:00.0,BRONZE
8310,1310,Men's 4 x 400m Relay,Poland,03:00.3,BRONZE
8311,1311,Men's 4 x 400m Relay,Jamaica,03:01.4,BRONZE
8312,1312,Men's 4 x 400m Relay,Russian Federation,03:01.4,BRONZE
8313,1313,Men's 4 x 200m Freestyle Relay,United States of America,06:58.6,GOLD
8314,1314,Men's 4 x 200m Freestyle Relay,Russian Federation,07:03.7,SILVER
8315,1315,Men's 4 x 200m Freestyle Relay,Australia,07:05.0,BRONZE
8316,1316,Men's 4 x 200m Freestyle Relay,Italy,07:05.4,BRONZE
8317,1317,Men's 4 x 200m Freestyle Relay,Canada,07:05.8,BRONZE
8318,1318,Men's 4 x 200m Freestyle Relay,Great Britain,07:05.9,BRONZE
8319,1319,Men's 4 x 200m Freestyle Relay,Japan,07:10.3,BRONZE
8320,1320,Men's 4 x 200m Freestyle Relay,South Africa,07:13.0,BRONZE
8321,1321,Men's 4 x 200m Freestyle Relay,Austria,07:13.0,BRONZE
8322,1322,Men's 4 x 200m Freestyle Relay,People's Republic of China,07:13.0,BRONZE
8323,1323,Men's 4 x 200m Freestyle Relay,France,07:13.0,BRONZE
8324,1324,Men's 4 x 200m Freestyle Relay,Germany,07:13.0,BRONZE
8325,1325,Men's 4 x 200m Freestyle Relay,Hungary,07:13.0,BRONZE
8326,1326,Men's 4 x 200m Freestyle Relay,Poland,07:13.0,BRONZE
8327,1327,Men's 4 x 200m Freestyle Relay,Greece,07:13.0,BRONZE
8328,1328,Men's 4 x 200m Freestyle Relay,Brazil,07:13.0,BRONZE
8329,1329,Men's 4 x 100m Freestyle Relay,Netherlands,03:33.8,GOLD
8330,1330,Men's 4 x 100m Freestyle Relay,United States of America,03:34.3,SILVER
8331,1331,Men's 4 x 100m Freestyle Relay,Australia,03:35.0,BRONZE
8332,1332,Men's 4 x 100m Freestyle Relay,People's Republic of China,03:35.6,BRONZE
8333,1333,Men's 4 x 100m Freestyle Relay,Germany,03:36.8,BRONZE
8334,1334,Men's 4 x 100m Freestyle Relay,France,03:37.7,BRONZE
8335,1335,Men's 4 x 100m Freestyle Relay,Great Britain,03:38.2,BRONZE
8336,1336,Men's 4 x 100m Freestyle Relay,Canada,03:38.3,BRONZE
8337,1337,Men's 4 x 100m Freestyle Relay,Japan,03:38.3,BRONZE
8338,1338,Men's 4 x 100m Freestyle Relay,Italy,03:38.3,BRONZE
8339,1339,Men's 4 x 100m Freestyle Relay,Sweden,03:38.3,BRONZE
8340,1340,Men's 4 x 100m Freestyle Relay,Russian Federation,03:38.3,BRONZE
8341,1341,Men's 4 x 100m Freestyle Relay,Brazil,03:38.3,BRONZE
8342,1342,Men's 4 x 100m Freestyle Relay,Ukraine,03:38.3,BRONZE
8343,1343,Men's 4 x 100m Freestyle Relay,South Africa,03:38.3,BRONZE
8344,1344,Men's 4 x 100m Freestyle Relay,Belarus,03:38.3,BRONZE
8345,1345,Women's 4 x 200m Freestyle Relay,Australia,07:44.3,GOLD
8346,1346,Women's 4 x 200m Freestyle Relay,People's Republic of China,07:45.9,SILVER
8347,1347,Women's 4 x 200m Freestyle Relay,United States of America,07:46.3,BRONZE
8348,1348,Women's 4 x 200m Freestyle Relay,Italy,07:49.8,BRONZE
8349,1349,Women's 4 x 200m Freestyle Relay,France,07:50.7,BRONZE
8350,1350,Women's 4 x 200m Freestyle Relay,Hungary,07:55.5,BRONZE
8351,1351,Women's 4 x 200m Freestyle Relay,Japan,07:57.6,BRONZE
8352,1352,Women's 4 x 200m Freestyle Relay,Sweden,07:59.8,BRONZE
8353,1353,Women's 4 x 200m Freestyle Relay,Great Britain,07:59.8,BRONZE
8354,1354,Women's 4 x 200m Freestyle Relay,Canada,07:59.8,BRONZE
8355,1355,Women's 4 x 200m Freestyle Relay,Netherlands,07:59.8,BRONZE
8356,1356,Women's 4 x 200m Freestyle Relay,Germany,07:59.8,BRONZE
8357,1357,Women's 4 x 200m Freestyle Relay,Denmark,07:59.8,BRONZE
8358,1358,Women's 4 x 200m Freestyle Relay,Spain,07:59.8,BRONZE
8359,1359,Women's 4 x 200m Freestyle Relay,Poland,07:59.8,BRONZE
8360,1360,Women's 4 x 200m Freestyle Relay,New Zealand,07:59.8,BRONZE
8361,1361,Men's 4 x 100m Freestyle Relay,United States of America,03:08.2,GOLD
8362,1362,Men's 4 x 100m Freestyle Relay,France,03:08.3,SILVER
8363,1363,Men's 4 x 100m Freestyle Relay,Australia,03:09.9,BRONZE
8364,1364,Men's 4 x 100m Freestyle Relay,Italy,03:11.5,BRONZE
8365,1365,Men's 4 x 100m Freestyle Relay,Sweden,03:11.9,BRONZE
8366,1366,Men's 4 x 100m Freestyle Relay,Canada,03:12.3,BRONZE
8367,1367,Men's 4 x 100m Freestyle Relay,South Africa,03:12.7,BRONZE
8368,1368,Men's 4 x 100m Freestyle Relay,Great Britain,03:12.9,BRONZE
8369,1369,Men's 4 x 100m Freestyle Relay,Russian Federation,03:12.9,BRONZE
8370,1370,Men's 4 x 100m Freestyle Relay,Netherlands,03:12.9,BRONZE
8371,1371,Men's 4 x 100m Freestyle Relay,New Zealand,03:12.9,BRONZE
8372,1372,Men's 4 x 100m Freestyle Relay,People's Republic of China,03:12.9,BRONZE
8373,1373,Men's 4 x 100m Freestyle Relay,Switzerland,03:12.9,BRONZE
