Team_id,discipline_title,event_title,slug_game,country_name
1243,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Canada
1244,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Italy
1245,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Belarus
1246,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,New Zealand
1247,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Hungary
1248,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,Greece
1249,Athletics,Women's 4 x 100m Relay,london-2012,United States of America
1250,Athletics,Women's 4 x 100m Relay,london-2012,Jamaica
1251,Athletics,Women's 4 x 100m Relay,london-2012,Ukraine
1252,Athletics,Women's 4 x 100m Relay,london-2012,Nigeria
1253,Athletics,Women's 4 x 100m Relay,london-2012,Germany
1254,Athletics,Women's 4 x 100m Relay,london-2012,Netherlands
1255,Athletics,Women's 4 x 100m Relay,london-2012,Brazil
1256,Athletics,Women's 4 x 100m Relay,london-2012,Trinidad and Tobago
1257,Athletics,Men's 4 x 400m Relay,london-2012,Bahamas
1258,Athletics,Men's 4 x 400m Relay,london-2012,United States of America
1259,Athletics,Men's 4 x 400m Relay,london-2012,Trinidad and Tobago
1260,Athletics,Men's 4 x 400m Relay,london-2012,Great Britain
1261,Athletics,Men's 4 x 400m Relay,london-2012,Belgium
1262,Athletics,Men's 4 x 400m Relay,london-2012,Venezuela
1263,Athletics,Men's 4 x 400m Relay,london-2012,South Africa
1264,Athletics,Men's 4 x 400m Relay,london-2012,Jamaica
1265,Athletics,Men's 4 x 400m Relay,london-2012,Dominican Republic
1266,Athletics,Men's 4 x 400m Relay,london-2012,Kenya
1267,Athletics,Men's 4 x 400m Relay,london-2012,Russian Federation
1268,Athletics,Men's 4 x 100m Relay,london-2012,Jamaica
1269,Athletics,Men's 4 x 100m Relay,london-2012,Trinidad and Tobago
1270,Athletics,Men's 4 x 100m Relay,london-2012,France
1271,Athletics,Men's 4 x 100m Relay,london-2012,Japan
1272,Athletics,Men's 4 x 100m Relay,london-2012,Netherlands
1273,Athletics,Men's 4 x 100m Relay,london-2012,Australia
1274,Athletics,Men's 4 x 100m Relay,london-2012,Great Britain
1275,Athletics,Men's 4 x 100m Relay,london-2012,United States of America
1276,Athletics,Women's 4 x 400m Relay,london-2012,United States of America
1277,Athletics,Women's 4 x 400m Relay,london-2012,Jamaica
1278,Athletics,Women's 4 x 400m Relay,london-2012,Ukraine
1279,Athletics,Women's 4 x 400m Relay,london-2012,Great Britain
1280,Athletics,Women's 4 x 400m Relay,london-2012,France
1281,Athletics,Women's 4 x 400m Relay,london-2012,Czech Republic
